step,spot,flat_delta,flat_portfolio,smile_delta,smile_portfolio
0,313.39,0.0738447,0.724091,0.0884427,0.955791
1,316.22,0.0859331,0.927878,0.101289,1.19998
2,315.32,0.0727978,0.846165,0.0872758,1.1036
3,317.31,0.0788929,0.986274,0.0937706,1.27164
4,314.86,0.0559756,0.789654,0.068951,1.03781
5,327.5,0.155683,1.48739,0.172692,1.89854
6,333.26,0.222674,2.36991,0.238696,2.87808
7,333.74,0.218387,2.46286,0.23447,2.97775
8,326.59,0.110253,0.89445,0.126459,1.29338
9,327.74,0.109501,1.01434,0.125645,1.43094
10,325.89,0.0765453,0.806991,0.0910739,1.19287
11,321.66,0.0339488,0.481138,0.044006,0.804982
12,333.02,0.125903,0.85867,0.142322,1.29577
13,336.91,0.168885,1.33744,0.185453,1.8374
14,340.08,0.210088,1.85904,0.225928,2.41056
15,338.19,0.128842,1.45364,0.145127,1.97424
16,333.43,0.0232608,0.838985,0.0313185,1.28162
17,308.91,1.13053e-13,0.268683,3.38527e-12,0.513795
18,305.765,0,0.268736,0,0.513897
