step,spot,delta,cash,portfolio_value
0,313.39,0.587202,-171.68,12.3432
1,316.22,0.632107,-185.917,13.9682
2,315.32,0.619851,-182.088,13.3633
3,317.31,0.653956,-192.948,14.5586
4,314.86,0.615938,-181.014,12.9206
5,327.5,0.810265,-244.704,20.6576
6,333.26,0.880143,-268.045,25.2717
7,333.74,0.893428,-272.532,25.6403
8,326.59,0.825505,-250.399,19.2027
9,327.74,0.851446,-258.952,20.1008
10,325.89,0.839599,-255.142,18.4752
11,321.66,0.785871,-237.907,14.8766
12,333.02,0.945013,-290.962,23.7465
13,336.91,0.97816,-302.189,27.3628
14,340.08,0.993674,-307.526,30.4028
15,338.19,0.996503,-308.544,28.4637
16,333.43,0.997093,-308.802,23.6592
17,308.91,0.433796,-134.82,-0.816164
18,305.765,0,-2.18088,-2.18088
