contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,underlying,spot,mid,my_iv
AAPL260828C00250000,2026-07-31 19:54:50+00:00,250.0,60.0,58.65,61.35,-21.71,-26.569574,19.0,6,0.512578116455078,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,60.0,0.4061709204159767
AAPL260828C00255000,2026-07-31 19:54:46+00:00,255.0,54.6,54.0,56.4,-30.400002,-35.76471,2.0,30,0.5860637097167969,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,55.2,0.41175172778600133
AAPL260828C00260000,2026-07-31 19:18:05+00:00,260.0,46.65,48.8,51.5,-31.400002,-40.23062,12.0,17,0.5482222912597658,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,50.15,0.36555809468442413
AAPL260828C00265000,2026-07-31 19:44:13+00:00,265.0,42.8,43.95,46.3,-25.2,-37.058823,7.0,6,0.4915822326660156,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,45.125,0.3246495124399525
AAPL260828C00270000,2026-07-31 18:13:24+00:00,270.0,33.5,39.05,41.5,-31.279999,-48.286507,13.0,50,0.4596001306152344,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,40.275,0.31225271695321144
AAPL260828C00275000,2026-07-31 19:56:58+00:00,275.0,36.0,34.85,36.8,-21.77,-37.683918,48.0,63,0.4310359631347656,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,35.825,0.3321625233777519
AAPL260828C00280000,2026-07-31 19:58:13+00:00,280.0,31.25,30.05,32.2,-30.240002,-49.17873,79.0,113,0.4045469702148437,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,31.125,0.3143803701415033
AAPL260828C00285000,2026-07-31 19:58:13+00:00,285.0,26.7,25.5,27.75,-21.419998,-44.513714,37.0,30,0.3808655664062499,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,26.625,0.3027200867620997
AAPL260828C00290000,2026-07-31 19:58:44+00:00,290.0,22.91,21.4,23.45,-20.61,-47.35754,231.0,117,0.3581607153320312,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,22.424999999999997,0.29706752882652726
AAPL260828C00295000,2026-07-31 19:58:13+00:00,295.0,18.5,17.55,19.45,-22.5,-54.87805,240.0,226,0.3401555242919921,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,18.5,0.29165439085251954
AAPL260828C00300000,2026-07-31 19:59:26+00:00,300.0,15.05,14.1,15.75,-20.52,-57.689064,2087.0,179,0.3242865423583984,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,14.925,0.28710529023867104
AAPL260828C00305000,2026-07-31 19:59:32+00:00,305.0,11.8,10.95,12.3,-19.27,-62.021244,2255.0,303,0.307074800415039,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,11.625,0.27921179409771435
AAPL260828C00310000,2026-07-31 19:59:52+00:00,310.0,8.9,8.35,9.7,-17.1,-65.76923,1359.0,1719,0.3048775567626953,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,9.024999999999999,0.2803384510338458
AAPL260828C00315000,2026-07-31 19:59:46+00:00,315.0,6.44,6.2,6.85,-15.549999,-70.71396,1114.0,234,0.2833323620605468,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,6.525,0.2708779574601272
AAPL260828C00320000,2026-07-31 19:59:46+00:00,320.0,4.95,4.35,5.05,-14.500001,-74.550125,2673.0,413,0.2811961529541015,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,4.699999999999999,0.2689035091126193
AAPL260828C00325000,2026-07-31 19:59:16+00:00,325.0,3.45,3.25,3.6,-12.840001,-78.821365,2579.0,2212,0.278327529296875,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,3.425,0.2725649865434558
AAPL260828C00330000,2026-07-31 19:59:40+00:00,330.0,2.6,2.22,2.62,-10.98,-80.854195,1574.0,897,0.2811961529541015,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,2.42,0.27446736714932723
AAPL260828C00335000,2026-07-31 19:59:51+00:00,335.0,1.63,1.44,1.87,-9.42,-85.24887,910.0,907,0.2834544311523437,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,1.655,0.2751452302827766
AAPL260828C00340000,2026-07-31 19:59:42+00:00,340.0,1.2,0.93,1.33,-7.25,-85.79882,2520.0,2512,0.2865061584472655,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,1.1300000000000001,0.27740095874803117
AAPL260828C00345000,2026-07-31 19:59:19+00:00,345.0,0.84,0.75,0.94,-5.66,-87.07692,2972.0,2444,0.2898020239257812,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,0.845,0.28675891415724186
AAPL260828C00350000,2026-07-31 19:59:25+00:00,350.0,0.58,0.5,0.67,-4.28,-88.06584,1796.0,1237,0.2941965112304687,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,0.585,0.29070306836261095
AAPL260828C00355000,2026-07-31 19:59:23+00:00,355.0,0.39,0.32,0.47,-4.06,-91.23596,2224.0,1210,0.2978585839843749,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,0.395,0.2935573101072375
AAPL260828C00360000,2026-07-31 19:59:23+00:00,360.0,0.29,0.24,0.42,-2.41,-89.25926,1055.0,3965,0.3147041186523437,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,0.32999999999999996,0.3076999811511456
AAPL260828C00365000,2026-07-31 19:52:01+00:00,365.0,0.24,0.12,0.42,-1.66,-87.36842,519.0,1316,0.3374089697265625,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,0.27,0.31979089804122424
AAPL260828C00370000,2026-07-31 19:58:49+00:00,370.0,0.16,0.1,0.38,-1.2,-88.2353,411.0,796,0.3532779516601562,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,0.24,0.33534011183046986
AAPL260828C00375000,2026-07-31 19:48:01+00:00,375.0,0.09,0.08,0.31,-0.82000005,-90.10989,141.0,464,0.362311064453125,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,0.195,0.34545999579680753
AAPL260828C00380000,2026-07-31 18:47:46+00:00,380.0,0.07,0.03,0.12,-0.66,-90.41096,469.0,454,0.33399103515625,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,0.075,0.32231231444537217
AAPL260828C00385000,2026-07-31 19:43:16+00:00,385.0,0.05,0.05,0.28,-0.36999997,-88.09524,69.0,436,0.3960021337890625,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,0.165,0.3762951277337117
AAPL260828C00390000,2026-07-31 19:59:42+00:00,390.0,0.05,0.03,0.26,-0.35999998,-87.80488,27.0,143,0.4106504248046875,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094,0.14500000000000002,0.3884102546807981
