contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,underlying,spot
AAPL260828C00110000,2026-07-20 14:11:21+00:00,110.0,217.92,197.15,201.0,0.0,0.0,2.0,5,1.53515857421875,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00120000,2026-07-20 13:32:37+00:00,120.0,212.0,187.35,191.05,0.0,0.0,10.0,10,1.5146508642578125,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00150000,2026-07-22 19:54:28+00:00,150.0,176.89,157.2,161.0,0.0,0.0,,9,1.1171919140625,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00165000,2026-07-15 15:43:20+00:00,165.0,162.23,142.3,146.2,0.0,0.0,8.0,8,1.0605515722656251,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00185000,2026-07-31 13:30:55+00:00,185.0,119.66,122.5,126.2,-21.259995,-15.086571,1.0,1,0.918946123046875,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00195000,2026-07-28 14:29:12+00:00,195.0,143.33,112.45,116.2,0.0,0.0,1.0,1,0.8271501660156249,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00200000,2026-07-20 16:37:49+00:00,200.0,125.0,107.65,111.2,0.0,0.0,3.0,0,0.81445498046875,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00210000,2026-07-30 16:24:54+00:00,210.0,122.02,97.7,101.45,0.0,0.0,1.0,2,0.7666038964843751,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00220000,2026-07-31 19:57:42+00:00,220.0,89.68,87.75,91.3,-19.849998,-18.122887,2.0,80,0.6772493212890626,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00225000,2026-07-22 13:52:40+00:00,225.0,102.33,82.7,86.3,0.0,0.0,,1,0.6342810009765626,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00240000,2026-07-31 19:58:15+00:00,240.0,69.72,67.9,71.4,-21.36,-23.45191,4.0,31,0.5459029785156251,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00250000,2026-07-31 19:54:50+00:00,250.0,60.0,58.65,61.35,-21.71,-26.569574,19.0,6,0.512578116455078,True,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
